time,sex,country_code,age_group,activity_rate,employment,employment_pop_rate,informal_employment,informal_employment_rate,labor_force_pop,longterm_ue,NEETrate,unemployment,unemployment_rate,working_age_pop,Registered Jobseeker
2019,Male,MNE,15+,65.23,136.323,55.66,,,159.773,18.57,,23.45,14.68,244.935,11202
2018,Male,MNE,15+,64.28,133.179,54.48,,,157.134,18.089,,23.955,15.24,244.451,14600
2020,Male,MNE,15+,60.59,122.582,50,,,148.539,19.787,,25.957,17.48,245.162,15457
2019,Female,MNE,15+,49.91,107.469,42.08,,,127.474,16.353,,20.005,15.69,255.396,16343
2017,Male,MNE,15+,62.22,128.514,52.65,,,151.881,18.592,,23.367,15.38,244.112,17950
2018,Female,MNE,15+,48.09,104.248,40.82,,,122.818,14.293,,18.57,15.12,255.365,19434
2015,Male,MNE,15+,60.11,120.753,49.44,,,146.83,20.208,,26.077,17.76,244.265,19739
2016,Male,MNE,15+,61.79,123.293,50.52,,,150.81,21.19,,27.517,18.25,244.062,21017
2020,Female,MNE,15+,46.4,96.767,37.87,,,118.561,16.805,,21.794,18.38,255.515,21665
2015,Female,MNE,15+,47.64,100.948,39.4,,,122.076,16.43,,21.128,17.31,256.239,23214
2016,Female,MNE,15+,47.58,100.913,39.45,,,121.722,15.945,,20.809,17.1,255.817,26022
2017,Female,MNE,15+,47.46,100.774,39.41,,,121.35,15.663,,20.576,16.96,255.687,27007
2019,Total,MNE,15+,57.41,243.792,48.73,,,287.247,34.923,,43.455,15.13,500.33,27545
2019,Male,ALB,15+,67.93,702.194,60.06,414.157,59,794.2,58.713,,92.006,11.58,1169.103,33702
2018,Total,MNE,15+,56.01,237.427,47.5,,,279.952,32.382,,42.525,15.19,499.816,34034
2018,Male,ALB,15+,67.42,689.436,58.91,415.108,60.2,789.099,66.482,,99.664,12.63,1170.354,35535
2020,Total,MNE,15+,53.35,219.349,43.81,,,267.1,36.593,,47.752,17.88,500.677,37122
2019,Female,ALB,15+,52.87,562.476,46.89,302.974,53.9,634.249,46.586,,71.773,11.32,1199.549,37228
2018,Female,ALB,15+,51.32,539.522,45.22,296.011,54.9,612.28,51.365,,72.759,11.88,1193.017,39151
2017,Male,ALB,15+,66.52,677.134,56.92,413.576,61.1,791.433,74.036,,114.299,14.44,1189.694,42386
2015,Total,MNE,15+,53.73,221.701,44.3,,,268.906,36.637,,47.205,17.55,500.504,42953
2017,Total,MNE,15+,54.67,229.288,45.88,,,273.231,34.254,,43.942,16.08,499.798,44957
2016,Total,MNE,15+,54.52,224.206,44.85,,,272.532,37.135,,48.326,17.73,499.879,47039
2017,Female,ALB,15+,49.57,514.599,43.37,286.053,55.6,588.14,50.802,,73.541,12.5,1186.552,47394
2016,Male,ALB,15+,64.87,646.75,54.4,412.698,63.8,771.237,80.831,,124.487,16.14,1188.841,59790
2016,Female,ALB,15+,49.73,504.203,42.54,296.855,58.9,589.511,58.582,,85.307,14.47,1185.362,59920
2013,Male,ALB,15+,61.66,563.176,50.72,331.992,58.9,684.761,85.51,,121.585,17.76,1110.458,68952
2014,Male,ALB,15+,63.34,578.543,50.73,389.942,67.4,722.324,88.53,,143.782,19.91,1140.326,69531
2019,Total,ALB,15+,60.31,1264.67,53.39,717.131,56.7,1428.448,105.3,,163.779,11.47,2368.652,70930
2014,Female,ALB,15+,43.98,445.592,37.16,282.225,63.3,527.454,58.174,,81.863,15.52,1199.208,72467
2015,Male,ALB,15+,64.15,617.985,53.08,406.67,65.8,746.782,86.382,,128.797,17.25,1164.174,73184
2013,Female,ALB,15+,43.94,460.965,38.04,292.493,63.5,532.512,55.575,,71.547,13.44,1211.778,73696
2018,Total,ALB,15+,59.3,1228.957,52,711.119,57.9,1401.38,117.846,,172.422,12.3,2363.371,74686
